ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC22507003	325.36	C18H19N3O3	CCOc1ccccc1NC(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	0.97	0.07
ZINC22585748	338.47	C21H28N3O	C[C@@H](C(=O)NC(c1ccccc1)c2ccccc2)N3CC[NH+](CC3)C	ABC transporters	0.90	0.04
ZINC22589796	282.29	C16H14N2O3	CN(c1ccccc1)C(=O)c2ccc3c(c2)OCC(=O)N3	CD36	1.04	0.01
ZINC22597502	290.38	C15H18N2O2S	Cc1c(c(on1)C)CCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	0.95	0.09
ZINC22597948	313.37	C17H15NO3S	c1ccc2c(c1)C[C@@H](OC2=O)C(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.76	0.02
ZINC22679873	272.37	C15H16N2OS	c1ccc(cc1)NC(=O)NCC2(CC2)c3cccs3	Lip	0.88	0.06
ZINC22680085	275.34	C15H14FNOS	c1cc(cc(c1)F)C(=O)NCC2(CC2)c3cccs3	Lip	1.08	0.08
ZINC22682599	266.36	C13H18N2O2S	CCCNC(=O)C(=O)NCC1(CC1)c2cccs2	Lip	1.03	0.02
ZINC22795870	324.44	C20H26N3O	C[C@@H](C(=O)N)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.01	0.03
ZINC22803485	298.40	C18H24N3O	C[C@@H](C(=O)N)N1CC[NH+](CC1)Cc2cccc3c2cccc3	ABC transporters	1.00	0.15
ZINC22803490	298.40	C18H24N3O	C[C@H](C(=O)N)N1CC[NH+](CC1)Cc2cccc3c2cccc3	ABC transporters	0.86	0.15
ZINC22832298	307.39	C19H21N3O	c1cc2c(c[nH]c2nc1)C3=CCN(CC3)C(=O)C[C@H]4CCC=C4	PI3K	1.06	0.11
ZINC22861291	338.47	C21H28N3O	CN(C)C(=O)C[NH+]1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	0.79	0.09
ZINC22916039	338.47	C21H28N3O	C[C@H](C(=O)Nc1ccccc1)N2CC[NH+](CC2)CCc3ccccc3	ABC transporters	1.00	0.07
ZINC22968205	266.34	C17H18N2O	Cc1cccc(n1)C(=O)NCC2(CC2)c3ccccc3	Lip	1.15	0.10
ZINC23135661	326.36	C19H19FN2O2	CNC(=O)c1cccc(c1)CNC(=O)C2(CC2)c3ccc(cc3)F	Lip	1.04	0.06
ZINC23280910	277.43	C17H29N2O	CCC[NH+]1CCC(CC1)N(C)C[C@H](c2ccccc2)O	TRP path	0.85	0.05
ZINC23709262	298.75	C12H11ClN2O3S	Cc1c(c(on1)C)CSc2ccc(cc2Cl)[N+](=O)[O-]	HIS path	1.24	0.19
ZINC23715248	308.37	C19H20N2O2	CCOc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C4CC4	Lip	1.17	0.12
ZINC23749793	349.45	C21H25N4O	C[C@H](C(=O)Nc1ccccc1C#N)N2CC[NH+](CC2)Cc3ccccc3	ABC transporters	1.00	0.02
ZINC24032070	295.38	C18H21N3O	c1ccc(cc1)[C@H](C(=O)N)N2CCN(CC2)c3ccccc3	ABC transporters	1.05	0.08
ZINC24052419	334.46	C16H18N2O2S2	c1ccc2c(c1)CCN(C2)S(=O)(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.98	0.10
ZINC24115542	338.40	C19H22N4O2	CN(C)c1ccc(cn1)NC(=O)[C@H]2CC(=O)N(C2)Cc3ccccc3	GLN path	0.80	0.12
ZINC24325591	322.40	C20H22N2O2	CCCN(Cc1ccccc1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.19	0.06
ZINC24341830	329.40	C20H19N5	CN(Cc1cnn(c1)Cc2ccccc2)c3c4ccccc4ncn3	GLN path	0.99	0.19
ZINC24471158	334.44	C16H22N4O2S	CCN(CC)S(=O)(=O)N1CCC(=CC1)c2c[nH]c3c2cccn3	PI3K	1.04	0.03
ZINC24576920	241.29	C15H15NO2	Cc1ccc(c(c1)C)C(=O)Nc2ccccc2O	Autophagy	0.87	0.10
ZINC24639222	346.39	C19H18N6O	c1ccc2c(c1)cnn(c2=O)C[NH+]3CCN(CC3)c4cc(ccn4)C#N	ATPase	0.91	0.05
ZINC24745520	280.36	C18H20N2O	c1ccc(cc1)CNC(=O)NCC2(CC2)c3ccccc3	Lip	1.12	0.02
ZINC24830200	330.33	C16H10F2N3OS	c1cnccc1C(=O)Nc2ncc(s2)Cc3cc(cc(c3)F)F	GLN path	0.91	0.11
ZINC25612041	305.33	C15H19N3O4	C[C@H]1CN(CCO1)C(=O)CN2CCc3c2ccc(c3)[N+](=O)[O-]	HIS path	0.87	0.09
ZINC25824395	262.31	C13H18N4O2	Cc1cc2nc(c(c(n2n1)C)CCC(=O)NOC)C	Calcineurin1	1.04	0.08
ZINC25898566	338.36	C19H18N2O4	CC(=O)c1ccccc1NC(=O)COc2ccc3c(c2)CCC(=O)N3	CD36	1.00	0.01
ZINC25913279	329.42	C16H19N5OS	Cc1cc2nc(c(c(n2n1)C)CCC(=O)/N=c/3\n(ccs3)C)C	Calcineurin1	1.06	0.02
ZINC26161323	323.39	C19H21N3O2	c1ccc(cc1)[C@H](C(=O)N)N2CCN(CC2)C(=O)c3ccccc3	ABC transporters	0.79	0.06
ZINC26475886	273.24	C13H11N3O4	CCOC(=O)c1c2c(c3n1cccc3)c(=O)[nH]c(=O)[nH]2	E3 ligase	0.92	0.02
ZINC26513872	210.07	C9H8BrN	Cc1c(c2ccccc2[nH]1)Br	AKT1	0.86	0.08
ZINC26523025	288.39	C16H24N4O	Cc1cc2nc(c(c(n2n1)C)CCC(=O)NCC(C)C)C	Calcineurin1	1.00	0.02
ZINC26571805	325.32	C17H15N3O4	COc1ccccc1Oc2cnc(nc2c3ccc(cc3O)O)N	ATPase	0.98	0.06
ZINC26903089	255.34	C11H17N3O2S	Cc1csc(n1)NC(=O)C[NH+]2CCC(CC2)O	Autophagy	0.88	0.12
ZINC27288222	345.35	C17H19N3O5	C[C@H](c1ccccc1)N2C(=O)C(=O)N(C2=O)CC(=O)N3CCOCC3	GLN path	0.95	0.04
ZINC27663145	319.44	C16H17NO2S2	COc1cccc(c1)SCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.06	0.10
ZINC27788872	305.29	C17H11N3O3	c1ccc(cc1)C(=O)c2c3c(c4n2cccc4)c(=O)[nH]c(=O)[nH]3	E3 ligase	0.88	0.01
ZINC27904853	348.46	C18H23FN3OS	C[C@H](C(=O)N)[NH+]1CCN(CC1)Cc2ccc(s2)c3ccccc3F	ABC transporters	0.93	0.11
ZINC28162270	233.33	C12H15N3S	Cc1c(sc2c1c(nc(n2)C)NCC=C)C	Autophagy	1.01	0.00
ZINC28162708	271.34	C14H13N3OS	Cc1cc2c(nc(nc2s1)C)Nc3ccccc3O	Autophagy	1.08	0.14
ZINC28220828	308.33	C17H16N4O2	COc1cccc(c1)Cn2cc(cn2)NC(=O)c3ccncc3	GLN path	0.89	0.02
ZINC28238510	347.78	C16H15ClFN5O	CCn1c(ccn1)C(=O)Nc2cnn(c2)Cc3c(cccc3Cl)F	GLN path	0.93	0.07
ZINC28245834	323.39	C18H21N5O	CCCn1c(ccn1)C(=O)Nc2cnn(c2)Cc3ccccc3C	GLN path	1.28	0.08
ZINC28463490	227.32	C11H17NO2S	CCNS(=O)(=O)c1cc(c(cc1C)C)C	Cations channels	1.07	0.03
ZINC28517371	319.40	C20H21N3O	c1ccc2c(c1)ccn2CCC(=O)N(Cc3cccnc3)C4CC4	FASII-PDIM metabolism	0.87	0.08
ZINC28645985	274.36	C15H22N4O	Cc1cc2nc(c(c(n2n1)C)CCC(=O)NC(C)C)C	Calcineurin1	0.98	0.09
ZINC28962120	288.39	C14H12N2OS2	Cc1ccsc1Cn2c(=O)c3ccccc3[nH]c2=S	TRP path	1.05	0.03
ZINC28968007	323.41	C20H23N2O2	c1ccc2c(c1)-c3ccccc3C2NC(=O)C[NH+]4CCC(CC4)O	Autophagy	1.02	0.11
ZINC29078308	332.36	C19H16N4O2	Cc1cc(no1)NC(=O)c2ccc3c(c2)nc(n3c4ccccc4)C	HIS path	0.90	0.06
ZINC29597329	330.44	C18H22N2O2S	c1ccc(cc1)[C@H](c2cccs2)NC(=O)C[NH+]3CCC(CC3)O	Autophagy	0.96	0.04
ZINC29634790	324.44	C20H26N3O	CNC(=O)C[NH+]1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	0.83	0.10
ZINC29748127	326.39	C19H22N2O3	C[C@H]1CN(C[C@@H](O1)C)C(=O)c2ccc(cc2)OCc3ccncc3	GLN path	0.89	0.23
ZINC29912862	274.33	C16H20NO3	CC[NH+](Cc1cc(=O)oc2c1ccc(c2C)O)C3CC3	Proteasome inducers	1.06	0.10
ZINC30335231	303.35	C13H18FNO4S	C[C@@H]([C@@H]1CCCO1)NS(=O)(=O)c2ccc(c(c2)F)OC	PI3K	1.03	0.04
ZINC30678411	249.52	C6H2BrClN2S	c1c2c(ncnc2Cl)sc1Br	Autophagy	1.02	0.01
ZINC31255544	323.13	C14H8Cl2N2O3	c1cc(c(cc1C(=O)Nc2ccc3c(c2)[nH]c(=O)o3)Cl)Cl	AKT1	0.96	0.01
ZINC00313218	238.28	C16H14O2	Cc1cccc2c1OC(=O)C[C@@H]2c3ccccc3	E3 ligase	0.89	0.09
ZINC31627888	281.33	C12H15N3O3S	Cc1c(c(on1)C)COC(=O)c2c(nsc2NC)C	Autophagy	1.04	0.03
ZINC31716598	316.44	C18H28N4O	Cc1cc2nc(c(c(n2n1)C)CCC(=O)N(C)[C@H](C)C(C)C)C	Calcineurin1	0.75	0.03
ZINC31775965	280.30	C17H14NO3	c1ccc(cc1)COc2ccc3c(c2)ccn3CC(=O)[O-]	CYS path	0.85	0.02
ZINC32064144	324.42	C20H24N2O2	CC1CCC(CC1)NC(=O)c2ccc(cc2)OCc3cccnc3	ATPase	0.85	0.20
ZINC32096020	242.32	C15H18N2O	c1ccc2c(c1)ccn2CC(=O)NC3CCCC3	FASII-PDIM metabolism	0.87	0.10
ZINC32103660	324.33	C18H16N2O4	c1ccc(cc1)c2c3ccc(cc3on2)OC(=O)N4CCOCC4	GLN path	0.85	0.08
ZINC32107862	254.32	C14H21FNO2	c1cc(ccc1OCCC[NH+]2CCC(CC2)O)F	Autophagy	0.95	0.07
ZINC32558440	272.35	C10H18N5O2S	Cc1cc(nc(n1)N)N2CCN(CC2)S(=O)(=O)C	PI3K	1.09	0.11
ZINC32598899	252.68	C9H5ClN4OS	c1cc2c(cc1Cl)N=C3C(=NNC(=N3)[O-])S2	E3 ligase	0.85	0.06
ZINC32610058	346.31	C17H13F3N4O	c1cc(cc(c1)C(F)(F)F)Cn2cc(cn2)NC(=O)c3ccncc3	GLN path	0.91	0.03
ZINC32619703	349.45	C20H19N3OS	c1cc2c(c[nH]c2nc1)C3=CCN(CC3)C(=O)c4cc5c(s4)CCC5	PI3K	1.25	0.15
ZINC32627551	192.65	C10H9ClN2	Cc1cc(c(c2c1nccc2)N)Cl	Proteasome I-lact-mg 132	0.93	0.11
ZINC32648393	262.32	C15H20NO3	Cc1ccc(c(c1)C)[C@@H](C)NC(=O)CCCC(=O)[O-]	CYS path	0.86	0.06
ZINC32679759	339.45	C21H27N2O2	COC(=O)CC[NH+]1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.04	0.01
ZINC32754667	317.38	C20H19N3O	Cc1ccccc1C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4	PI3K	1.08	0.10
ZINC32836638	300.38	C16H16N2O2S	CN(Cc1cccs1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.13	0.10
ZINC32836662	308.37	C19H20N2O2	Cc1ccccc1CCNC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.11	0.04
ZINC32836687	284.31	C16H16N2O3	CN(Cc1ccco1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.03	0.05
ZINC32836750	314.40	C17H18N2O2S	CCN(Cc1cccs1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.03	0.01
ZINC32836861	300.38	C16H16N2O2S	CN(Cc1ccsc1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.02	0.05
ZINC32863530	297.42	C14H23N3O2S	C[C@@H]1CCCC[C@H]1NC(=O)CSc2nnc(o2)C(C)C	HIS path	0.90	0.12
ZINC32891503	283.37	C17H21N3O	CCCCC(=O)N1CCC(=CC1)c2c[nH]c3c2cccn3	PI3K	1.05	0.09
ZINC32905311	320.39	C20H20N2O2	CN([C@H]1CCc2c1cccc2)C(=O)c3ccc4c(c3)CCC(=O)N4	CD36	0.83	0.06
ZINC32908302	334.41	C21H22N2O2	c1ccc(cc1)C2CCN(CC2)C(=O)c3ccc4c(c3)CCC(=O)N4	CD36	1.04	0.03
ZINC32909802	269.12	C11H11BrNO2	c1cc(c(cc1Br)C(=O)NCC2CC2)O	Autophagy	0.83	0.11
ZINC32911348	269.45	C5H3ClIN2O	Cc1nc(c(c(n1)Cl)I)[O-]	Calcineurin1	1.04	0.12
ZINC32911391	251.05	C5H8IN4	Cc1c(c(nc([nH+]1)N)N)I	AKT1	0.87	0.15
ZINC32911392	269.47	C5H5ClIN3	Cc1c(c(nc(n1)N)Cl)I	AKT1	0.96	0.12
ZINC32914405	340.40	C17H16N4O2S	c1ccnc(c1)c2nc(on2)CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.96	0.02
ZINC32974093	316.39	C18H24N2O3	c1ccc(cc1)C(=O)N2CCC(CC2)CC(=O)N3CCOCC3	GLN path	0.92	0.07
ZINC33127202	329.30	C17H13F2N3O2	c1cc(ccc1CNC(=O)Nc2cc3ccc(=O)[nH]c3c(c2)F)F	CD36	0.99	0.08
ZINC33127215	316.71	C16H10ClFN2O2	c1cc(ccc1C(=O)Nc2cc3ccc(=O)[nH]c3c(c2)F)Cl	CD36	0.88	0.08
ZINC33184726	329.39	C18H23N3O3	Cc1nc(no1)COc2ccc(cc2)C(=O)N[C@H]3CCC[C@H](C3)C	ATPase	0.92	0.08
ZINC33662987	302.36	C18H22O4	Cc1ccc(cc1)[C@@H]2[C@H](C(=O)C[C@@]([C@@H]2C(=O)C)(C)O)C(=O)C	Proteasome I-lact-mg 132	0.92	0.09
ZINC33821657	329.46	C20H29N2O2	COC(=O)[C@H]1CC2(CC[NH+](CC2)Cc3ccccc3)N4[C@@H]1CCC4	Proteasome inducers	0.80	0.08
ZINC33891765	258.17	C11H7F3NO3	c1ccc(c(c1)C(=O)[O-])N/C=C\C(=O)C(F)(F)F	TRP path	1.04	0.03
ZINC33971762	276.35	C15H22N3O2	C[C@@]12CCN([C@@H]1N(c3c2cc(cc3)O/C(=N/C)/O)C)C	Proteasome inducers	0.99	0.15
ZINC34493133	211.69	C10H14ClN3	c1cnc(nc1N2CCCCCC2)Cl	Calcineurin1	0.89	0.04
ZINC35053122	319.36	C14H15N4O3S	Cc1ccc(cc1)Nc2[n+](c3c(s2)c(=O)[nH]c(=O)[nH]3)CCO	E3 ligase	0.90	0.01
ZINC35622355	251.28	C13H17NO4	Cc1cccc(c1NC(=O)[C@@](C)(O)OC(=O)C)C	TRP path	0.87	0.06
ZINC35853669	338.47	C21H28N3O	C[C@H](C(=O)N(C)Cc1ccccc1)[NH+]2CCN(CC2)c3ccccc3	ABC transporters	0.80	0.08
ZINC36095658	344.39	C18H22N3O4	CCOC(=O)N1CC[N+](=c2/c(=N/Cc3ccccc3)/c(c2O)O)CC1	Proteasome I-lact-mg 132	0.92	0.06
ZINC36101987	279.33	C15H21NO4	CC1(COCCN1C(=O)c2ccc(c(c2)OC)OC)C	PI3K	0.80	0.18
ZINC36235782	336.39	C19H20N4O2	Cc1ccc(cc1)Cn2ccc3c(c2=O)cnc(n3)N4CCOCC4	GLN path	0.93	0.01
ZINC36359834	281.37	C13H19N3O2S	CC(C)CCN1C[C@@H](CC1=O)C(=O)Nc2nccs2	HIS path	0.81	0.05
ZINC36367263	337.40	C19H21N4O2	C[NH+](C)CCNC(=O)c1ccc(cc1)n2cnc3ccccc3c2=O	ATPase	0.98	0.02
ZINC36390249	338.40	C19H22N4O2	c1ccc(cc1)[C@H](C(=O)N)N2CCN(CC2)C(=O)Nc3ccccc3	ABC transporters	1.08	0.09
ZINC36390765	334.41	C21H22N2O2	CN([C@H]1CCCc2c1cccc2)C(=O)c3ccc4c(c3)CCC(=O)N4	CD36	1.10	0.06
ZINC36395303	272.30	C15H16N2O3	Cc1c(cc(o1)CCC(=O)Nc2ccccn2)C(=O)C	HIS path	0.94	0.15
ZINC36610855	283.33	C16H17N3O2	CC1=C([C@H](C(=C(N1)C)C(=O)OC)c2cccc(c2)N)C#N	Proteasome inducers	0.96	0.09
ZINC36709040	340.40	C17H16N4O2S	c1ccc(cc1)c2cc(c(=O)n(n2)CC(=O)NCc3cccs3)N	Proteasome I-lact-mg 132	0.95	0.12
ZINC36729401	344.38	C19H21FN2O3	CN(Cc1ccccc1F)C(=O)[C@H]2CCCN(C2)C(=O)c3ccoc3	GLN path	1.04	0.01
ZINC37181216	329.82	C18H20ClN3O	c1ccc(cc1)[C@H](C(=O)N)N2CCN(CC2)c3ccccc3Cl	ABC transporters	1.04	0.01
ZINC37207185	261.32	C14H19N3O2	C[C@H](C(=O)N)N1CCN(CC1)C(=O)c2ccccc2	ABC transporters	1.00	0.03
ZINC37380915	230.07	C10H7Cl2O2	c1cc(c(cc1Cl)Cl)[C@@H]2C[C@H]2C(=O)[O-]	CYS path	1.26	0.30
ZINC37868918	285.27	C15H12FN3O2	Cc1cc(n(c-2nc(=O)[nH]c(=O)c12)c3ccc(cc3)F)C	E3 ligase	0.92	0.10
ZINC38140758	302.39	C18H24NO3	C[C@@]1(CC[C@@H](C1(C)C)C(=O)NCCc2ccccc2)C(=O)[O-]	CYS path	1.04	0.05
ZINC38339237	238.07	C6H3Cl2N2O2S	CSc1nc(c(c(n1)Cl)C(=O)[O-])Cl	Calcineurin1	0.88	0.02
ZINC38489656	266.31	C14H19FN2O2	COCCNC(=O)NCC1(CC1)c2ccc(cc2)F	Lip	0.97	0.07
ZINC38489658	290.36	C15H15FN2OS	c1cc(sc1)NC(=O)NCC2(CC2)c3ccc(cc3)F	Lip	0.98	0.15
ZINC38489659	304.38	C16H17FN2OS	c1cc(sc1)CNC(=O)NCC2(CC2)c3ccc(cc3)F	Lip	1.09	0.26
ZINC38489669	328.38	C19H21FN2O2	COc1ccc(cc1)CNC(=O)NCC2(CC2)c3ccc(cc3)F	Lip	1.01	0.18
ZINC38591529	298.35	C18H19FN2O	c1ccc(cc1)CNC(=O)NCC2(CC2)c3ccc(cc3)F	Lip	0.96	0.13
ZINC38593140	286.39	C16H18N2OS	c1ccc(cc1)CNC(=O)NCC2(CC2)c3cccs3	Lip	1.01	0.22
ZINC38593154	302.39	C16H18N2O2S	COc1cccc(c1)NC(=O)NCC2(CC2)c3cccs3	Lip	0.78	0.19
ZINC39162211	317.36	C17H21N2O4	C[C@@]1(CC[C@@H](C1(C)C)C(=O)NNC(=O)c2ccccc2)C(=O)[O-]	CYS path	0.95	0.04
ZINC39419150	349.43	C21H23N3O2	c1ccc(cc1)CN2CCN(CC2)C(=O)c3ccc4c(c3)CCC(=O)N4	CD36	1.03	0.04
ZINC40034706	311.40	C17H17N3OS	Cc1nc2ccccc2n1CC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.07	0.09
ZINC40068659	327.40	C18H17NO3S	COc1cccc(c1)SCC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.08	0.05
ZINC40119706	329.34	C19H17F2NO2	COc1ccc(cc1)C2=CCN(CC2)C(=O)c3cc(cc(c3)F)F	GLN path	0.71	0.30
ZINC40122418	329.34	C19H17F2NO2	COc1ccc(cc1)C2=CCN(CC2)C(=O)c3cc(ccc3F)F	GLN path	0.93	0.09
ZINC40153822	339.82	C16H22ClN3O3	c1cc(c(cc1[N+](=O)[O-])Cl)NC[C@H]([C@H]2CCOC2)[NH+]3CCCC3	HIS path	0.75	0.18
ZINC40159308	271.21	C13H9F4NO	c1ccc(c(c1)Cn2cc(ccc2=O)C(F)(F)F)F	GLN path	0.83	0.17
ZINC40266810	313.39	C18H23N3O2	Cc1ccc2c(c1)ccn2CCC(=O)N3CCC(CC3)C(=O)N	FASII-PDIM metabolism	0.84	0.12
ZINC40288424	299.34	C17H19N2O3	c1ccc2c(c1)ccn2CCC(=O)N3CCC(CC3)C(=O)[O-]	FASII-PDIM metabolism	0.86	0.09
ZINC40313364	261.32	C14H19N3O2	CC(C)CNc1c2cc(c(cc2ncn1)OC)OC	Autophagy	0.95	0.18
ZINC40466211	306.42	C17H28N3O2	CN(C)c1ccc(cc1)CN(C)C(=O)C[NH+]2CCC(CC2)O	Autophagy	0.88	0.06
ZINC40473631	291.39	C14H19N4OS	C[C@H](C(=O)N)[NH+]1CCN(CC1)c2nc3ccccc3s2	ABC transporters	1.22	0.03
ZINC40475356	324.37	C19H20N2O3	CN(CCOc1ccccc1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	0.96	0.02
ZINC40476545	299.30	C16H14FN3O2	c1ccc(c(c1)N2C[C@@H](CC2=O)C(=O)Nc3ccncc3)F	GLN path	0.71	0.33
ZINC40478932	309.38	C14H19N3O3S	COC(=O)c1c(nc(s1)N2CCCCC2)N3CCCC3=O	Calcineurin1	0.90	0.09
ZINC40534033	331.43	C17H21N3O2S	Cc1c(scn1)C(=O)N(C)Cc2ccc(cc2)N3CCOCC3	GLN path	0.91	0.12
ZINC40540524	300.30	C14H18F2N2O3	C[C@H]1CN(C[C@@H](O1)C)C(=O)Nc2cccc(c2)OC(F)F	GLN path	0.94	0.18
ZINC40553290	342.39	C19H22N2O4	CCN(CC)C(=O)c1ccc(o1)COc2ccc3c(c2)CCC(=O)N3	CD36	0.82	0.04
ZINC40553527	331.44	C16H21N5OS	CC1CCN(CC1)c2ccc(c[nH+]2)CNC(=O)Nc3nccs3	HIS path	0.95	0.10
ZINC40555099	341.35	C19H17F2N3O	c1cc2c(c[nH]c2nc1)C3CCN(CC3)C(=O)c4cc(cc(c4)F)F	PI3K	1.24	0.08
ZINC40564582	288.90	C5H3Cl2IN2	c1c(c(nc(n1)Cl)Cl)CI	AKT1	0.94	0.05
ZINC40758713	285.38	C17H23N3O	Cc1ccc2c(c1)cnn2CCC(=O)N3CCCCCC3	FASII-PDIM metabolism	1.09	0.04
ZINC41074114	348.33	C19H14N3O4	COc1cc-2cc3c([nH]c(=O)nc3n(c2cc1=O)Cc4ccccc4)[O-]	E3 ligase	0.91	0.05
ZINC41122925	338.40	C19H22N4O2	CC[C@H](c1ccccc1)N2Cc3c(cnc(n3)N4CCOCC4)C2=O	GLN path	0.99	0.04
ZINC41122963	339.39	C18H21N5O2	C[C@H]1CN(C[C@@H](O1)C)c2ncc3c(n2)CN(C3=O)Cc4cccnc4	GLN path	0.85	0.10
ZINC41220323	338.40	C20H22N2O3	COc1cccc(c1)NC(=O)C(=O)NCC2(CCC2)c3ccccc3	Lip	1.04	0.09
ZINC41417063	332.32	C15H19F3N2O3	Cc1cccc(c1NC(=O)C(=O)NC[C@H](C(F)(F)F)O)C(C)C	Proteasome I-lact-mg 132	0.88	0.07
ZINC41470719	264.12	C11H10BrN3	c1cc2c(c(c1)Br)ncnc2NC3CC3	Autophagy	1.10	0.10
ZINC41470837	252.11	C10H10BrN3	CCNc1c2cc(ccc2ncn1)Br	Autophagy	1.02	0.07
ZINC41471029	271.21	C12H9F4N3	c1cc2c(cc1F)c(nc(n2)C(F)(F)F)NC3CC3	Autophagy	0.92	0.15
ZINC41471124	219.26	C12H14FN3	CC(C)CNc1c2cccc(c2ncn1)F	Autophagy	1.04	0.14
ZINC41474560	257.27	C13H12FN5	Cc1c2c(ncnc2n(n1)c3ccccc3F)NC	PI3K	0.92	0.08
ZINC41474727	251.12	C11H11BrN2	Cc1cc(c2cc(ccc2[nH+]1)Br)NC	Autophagy	0.82	0.23
ZINC41474783	206.67	C11H11ClN2	CCNc1cc[nH+]c2c1cc(cc2)Cl	Autophagy	1.13	0.17
ZINC41475133	303.36	C16H21N3O3	C[C@@H]1CN(C[C@H](O1)C)c2c3ccc(c(c3ncn2)OC)OC	PI3K	0.99	0.17
ZINC41510815	281.74	C14H16ClNO3	CC[NH+](CC)Cc1c(ccc2c1occ(c2=O)Cl)O	Proteasome inducers	0.85	0.09
ZINC41534355	237.73	C13H16ClNO	CC(C)C(=O)NC1(CC1)c2ccc(cc2)Cl	Lip	0.82	0.07
ZINC41534386	221.27	C13H16FNO	CC(C)C(=O)NC1(CC1)c2ccc(cc2)F	Lip	0.97	0.11
ZINC41535169	235.30	C14H18FNO	CC(C)CC(=O)NC1(CC1)c2ccc(cc2)F	Lip	1.04	0.12
ZINC41564693	245.25	C14H12FNO2	c1cc(oc1)C(=O)NC2(CC2)c3ccc(cc3)F	Lip	0.93	0.10
ZINC41566291	238.71	C12H15ClN2O	CN(C)C(=O)NC1(CC1)c2ccc(cc2)Cl	Lip	0.95	0.10
ZINC41566825	255.29	C16H14FNO	c1ccc(cc1)C2(CC2)NC(=O)c3cccc(c3)F	Lip	0.86	0.11
ZINC41567494	286.76	C16H15ClN2O	c1ccnc(c1)C(=O)NCC2(CC2)c3cccc(c3)Cl	Lip	1.24	0.11
ZINC41569497	249.31	C14H19NO3	CCOC(=O)NCC1(CC1)c2ccc(cc2)OC	Lip	0.99	0.08
ZINC41569525	281.35	C15H23NO4	CCOC(=O)NCC(C)(C)c1ccc(c(c1)OC)OC	PI3K	0.98	0.12
ZINC41569589	239.70	C12H14ClNO2	CCOC(=O)NC1(CC1)c2ccc(cc2)Cl	Lip	1.03	0.14
ZINC41569851	250.31	C14H19FN2O	CCN(CC)C(=O)NC1(CC1)c2ccc(cc2)F	Lip	0.97	0.15
ZINC42177448	315.39	C16H17N3O2S	Cc1ccc2c(c1)c(=O)n(c(n2)SCc3c(noc3C)C)C	GLN path	0.90	0.07
ZINC42196603	343.49	C20H31N4O	CC1=NN(CC1)c2ccc(cc2)C(=O)NC3CC([NH2+]C(C3)(C)C)(C)C	ATPase	1.07	0.08
ZINC42196617	339.50	C18H35N4O2	CC1(CC(CC([NH2+]1)(C)C)NC(=O)C2CCN(CC2)C(=O)N(C)C)C	ATPase	1.41	0.45
ZINC42231108	286.33	C16H18N2O3	CCN(C1CC1)C(=O)COC(=O)c2cc3ccccc3[nH]2	HIS path	0.91	0.09
ZINC42311721	348.36	C19H16N4O3	c1cnc2nc(nn2c1)CC(=O)Oc3ccc4c(c3)c5c(o4)CCCC5	ATPase	0.79	0.21
ZINC42985608	247.74	C10H14ClNO2S	CCCNS(=O)(=O)c1ccc(c(c1)Cl)C	Cations channels	1.33	0.08
ZINC43266510	266.29	C14H16F2N2O	c1cc(c(cc1NC(=O)NC(C2CC2)C3CC3)F)F	TRP path	0.97	0.07
ZINC43302496	263.36	C15H23N2O2	C[C@@H](C(=O)N(C)c1ccccc1)[NH+]2CCC(CC2)O	Autophagy	0.70	0.11
ZINC43532188	272.33	C13H18N7	Cc1cc(nc([nH+]1)N)N2CCN(CC2)c3ncccn3	PI3K	0.98	0.03
ZINC43710509	313.38	C15H15N5OS	c1ccn2c(c1)nnc2CNC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.97	0.05
ZINC43827469	263.68	C13H10ClNO3	c1ccc(cc1)C(=O)Oc2cc(cc(c2O)N)Cl	ATPase	0.65	0.13
